iter	RMSE
562	9617.119594
563	9606.07372
564	9600.544156
565	9587.418858
566	9572.727737
567	9566.143309
568	9554.83661
569	9541.891969
570	9530.848116
571	9516.195443
572	9505.874288
573	9492.445643
574	9484.829158
575	9473.44225
576	9461.097934
577	9460.217515
578	9451.145232
579	9449.433896
580	9433.302346
581	9418.815202
582	9406.872385
583	9391.909084
584	9376.885148
585	9365.690495
586	9351.862359
587	9340.844166
588	9338.162701
589	9333.558385
590	9332.051197
591	9321.520324
592	9310.302098
593	9301.343855
594	9298.771697
595	9290.620068
596	9288.65109
597	9274.148015
598	9273.651029
599	9254.066437
600	9241.933715
601	9235.648323
602	9224.043864
603	9214.273418
604	9209.815371
605	9206.636455
606	9194.861848
607	9181.468825
608	9174.401129
609	9162.321923
610	9153.742147
611	9144.881485
612	9132.342452
613	9119.370154
614	9114.148936
615	9108.524661
616	9096.849853
617	9091.787564
618	9080.819181
619	9069.271162
620	9059.955424
621	9046.022863
622	9039.025224
623	9030.621308
624	9022.129965
625	9017.998662
626	9006.394094
627	8996.444623
628	8990.289127
629	8978.854339
630	8971.273064
631	8957.652745
632	8951.025118
633	8946.180857
634	8931.835063
635	8922.814454
636	8913.820723
637	8904.068498
638	8892.099159
639	8885.610841
640	8883.916959
641	8871.797317
642	8856.525502
643	8849.559134
644	8839.326415
645	8832.519222
646	8824.338634
647	8817.018896
648	8804.317229
649	8798.629111
650	8789.396239
651	8776.726072
652	8767.981769
653	8763.125943
654	8754.815683
655	8743.795011
656	8734.283913
657	8725.991059
658	8715.618335
659	8702.498032
660	8697.221434
661	8690.971162
662	8679.794961
663	8667.39211
664	8659.590519
665	8651.768189
666	8640.992598
667	8634.955583
668	8628.164318
669	8613.950881
670	8604.814788
671	8599.108755
672	8589.088929
673	8579.355547
674	8569.736185
675	8558.624686
676	8547.568092
677	8539.210093
678	8524.35439
679	8515.73113
680	8508.625621
681	8499.909396
682	8496.420765
